year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
19,CJ제일제당,식품,19년09월(3Q),0.0698274746821973,0.0388700389928362,0.0936988870279894,0.118817226205997,0.119484037061371,0.238701603061904,0.0577571416182276,0.00186492606900226,0.00214697882899486,0.281881164429084,0.330897304145681,0.576877720478507,0.31511062803582
19,CJ제일제당,식품,19년06월(2Q),0.0884577527890271,0.037827585164586,0.0885312477858897,0.113856747066493,0.120985800292307,0.231338057466164,0.0568459951831441,0.00245104569068869,0.00218496274676974,0.282454340023927,0.330811761836339,0.57703693509171,0.315061017606548
19,CJ제일제당,식품,19년03월(1Q),0.0962079484814684,0.0360460810688269,0.0810315379756663,0.114050277053455,0.121079660494241,0.230776431107167,0.0565088859545887,0.00269082189956041,0.00228424158481685,0.281555762328858,0.330834303390828,0.577314886026624,0.3150938764623
18,CJ제일제당,식품,18년12월(4Q),0.098443581854288,0.0322295438744975,0.0795888802292575,0.113724331812256,0.114925112967457,0.235595323940537,0.0560989176347003,0.0027973891035034,0.00196415903783541,0.28148345075103,0.330830835459368,0.576254354789526,0.314895434745212
18,CJ제일제당,식품,18년09월(3Q),0.0993378352034158,0.0319733700087658,0.0799431378785846,0.118435259126467,0.12643639630459,0.22781922564899,0.056803448736153,0.00277074730251765,0.00199965802641006,0.281209092117506,0.330937763346045,0.578056988037316,0.315133178230944
18,CJ제일제당,식품,18년06월(2Q),0.105001439747892,0.0319575008312426,0.0725278469124561,0.114330386245111,0.170859089019697,0.21736326824939,0.0565897649832139,0.00295723990941788,0.00192392685078414,0.281401568523196,0.330867248739696,0.586081134687467,0.315049420363342
18,CJ제일제당,식품,18년03월(1Q),0.0957608218069045,0.0288569658132576,0.0709434861063165,0.115639260104302,0.123171402137331,0.225388978256046,0.04988360216435,0.00322365791927534,0.00217762628913098,0.28124524790642,0.33090770794006,0.577766893614954,0.315202761690182
17,CJ제일제당,식품,17년12월(4Q),0.109025579818967,0.0278303811625306,0.0700766854749841,0.112588616362451,0.119356655358747,0.237013257155536,0.0481491208109761,0.00391634474490476,0.00205610141824376,0.281484514156586,0.330830257470791,0.577023442327879,0.315190520155686
17,CJ제일제당,식품,17년09월(3Q),0.105597608647311,0.0285482725266753,0.0718796307881554,0.11864406779661,0.136003432601671,0.238171178167295,0.049344907054364,0.00364992673504729,0.00203101546631767,0.28203429482919,0.330981112489293,0.580867530743262,0.315284586683916
17,CJ제일제당,식품,17년06월(2Q),0.107684199795276,0.0273516609739141,0.0643150993655019,0.113301621577575,0.121227155097279,0.228498724206789,0.0483800678187646,0.00383641934194752,0.00192487349047947,0.280800744383889,0.330871294659732,0.57719480042853,0.315184721534083
17,CJ제일제당,식품,17년03월(1Q),0.105150481972747,0.02693452830759,0.0636759281173543,0.114732724902216,0.124438514863433,0.227080790991791,0.0477632123029644,0.00380977754096177,0.00189043947156206,0.280919845806194,0.330915799780133,0.578168977977111,0.315274278023289
16,CJ제일제당,식품,16년12월(4Q),0.106491861996438,0.0275152646374271,0.0617780116045761,0.112919654498044,0.119376768259161,0.232880796538718,0.0485056681926297,0.00378313573997602,0.00188570627308544,0.28143772431211,0.330870138682579,0.576854782779995,0.315198895942447
16,CJ제일제당,식품,16년09월(3Q),0.10813132646984,0.026498125925702,0.0608494043195314,0.117319915254237,0.126161519998927,0.225167101175949,0.0475245172201647,0.0039429865458905,0.00182452968277512,0.280907084939519,0.331010011918124,0.578680353726297,0.315369633134097
16,CJ제일제당,식품,16년06월(2Q),0.115732479937426,0.0265498896714325,0.0598032136444972,0.115654538787484,0.123157993537055,0.233016002884402,0.0471362978827637,0.00428932995870521,0.00187410993681772,0.281413265984315,0.330964928809147,0.577557755775578,0.315278143771024
16,CJ제일제당,식품,16년03월(1Q),0.103511017499346,0.026314496871505,0.058663559249215,0.116785161342894,0.128353826144089,0.226501830485911,0.0469325371030845,0.00386306114293326,0.00188523295323777,0.281330320350924,0.331008855940971,0.578929969857166,0.315350948686709
15,CJ제일제당,식품,15년12월(4Q),0.112453550990624,0.0249637275942327,0.0547320530813632,0.110622759126467,0.121093069094517,0.230811099400932,0.0460154096978169,0.0043426135606767,0.00182890789136599,0.280585936461518,0.330825633562178,0.577103049634481,0.315217580389835
15,CJ제일제당,식품,15년09월(3Q),0.113347804339752,0.0249127195236224,0.056137023843801,0.116260593220339,0.121703160407085,0.233140808741957,0.0459662026249391,0.00436925536166245,0.00189694761946741,0.281327130134255,0.331010011918124,0.577390445504076,0.315321955578693
15,CJ제일제당,식품,15년06월(2Q),0.131381913547163,0.0237708944170722,0.0531009604150995,0.11469707464146,0.122514380723796,0.232554914577324,0.0455578654787372,0.00516850939123485,0.001954929300806,0.281188887411937,0.33097822254641,0.577777687826019,0.315271700858132
15,CJ제일제당,식품,15년03월(1Q),0.112602593215479,0.0233341141976242,0.0524210872242632,0.116408287157758,0.125041901875863,0.233341884845795,0.0445704616738071,0.00455574796856267,0.00197883195311294,0.281043200850724,0.331045269221299,0.57852383766586,0.315320022704825
14,CJ제일제당,식품,14년12월(4Q),0.0912895550612653,0.0233190006952211,0.0518196029600865,0.113683588657106,0.120141058474906,0.230010261814955,0.0445855500304078,0.00367656853603304,0.00200652116420116,0.281315432673136,0.330950479094731,0.576965423443407,0.315225956176595
