id,company,industry,num,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,11년12월(4Q),289500,46965,15900,860,1327,-2447,200616,13.68,1.44,8505,141.45,0.94,18.09,5.41,17.79,10795.07,27.54
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,11년09월(3Q),294000,28061,17513,1620,259,2031,203368,23.14,1.45,1804,160.37,16.63,14.23,9.25,3.8,-82.99,27.8
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,11년06월(2Q),235500,26945,15707,1004,727,-1010,194278,11.01,1.21,5088,152.71,16.45,-1.57,6.39,10.77,-84.04,25.48
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,11년03월(1Q),230000,26629,16262,1116,827,-1458,192144,4.81,1.2,5765,128.37,20.27,-17.82,6.86,12.25,5.29,27.13
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,10년12월(4Q),217000,26715,15752,728,182,1151,191217,4.55,1.13,78,124.68,NA,NA,4.62,NA,NA,27.45
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,10년09월(3Q),241000,NA,15016,1418,1289,1171,NA,NA,NA,10603,NA,NA,NA,9.44,NA,NA,31.04
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,10년06월(2Q),224500,NA,13488,1020,4366,-155,NA,NA,NA,31892,NA,NA,NA,7.56,NA,NA,30.04
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,10년03월(1Q),225000,NA,13521,1358,760,1339,NA,NA,NA,5476,NA,NA,NA,10.04,NA,NA,32.19
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,09년12월(4Q),205500,18270,8822,230,415,1186,135231,10.25,1.52,3030,120.5,1.05,-56.05,2.61,9.13,NA,28.16
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,09년09월(3Q),207500,18039,10527,1182,1460,1417,133897,16.17,1.55,10757,120.29,9.75,68.5,11.23,33.47,NA,32.68
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,09년06월(2Q),149500,16852,9381,746,834,717,124900,765.24,1.2,6170,126.48,12.19,28.34,7.95,20.24,56.71,29.96
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,09년03월(1Q),144000,16105,9657,461,13,875,119375,NA,1.21,98,131.34,16.86,-43.1,4.77,0.33,-97.55,26.72
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,08년12월(4Q),179000,15893,8731,524,-571,-675,117802,95.38,1.52,-4222,136.11,24.64,12.26,6,-18.6,NA,30
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,08년09월(3Q),192500,8649,9592,702,-250,506,64206,36.93,3,-1850,232.45,217.23,60.68,7.31,-11.61,NA,30.98
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,08년06월(2Q),273500,8591,8362,581,532,-717,63783,29.04,4.29,3937,210.08,NA,NA,6.95,25.98,NA,32.31
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,08년03월(1Q),220000,7796,8264,810,542,480,57898,NA,3.8,4013,208.4,NA,NA,9.8,29.18,NA,33.86
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,07년12월(4Q),296000,7072,7005,467,-120,40,52543,NA,5.63,-886,210.69,NA,NA,6.66,-6.77,NA,34.79
CJ제일제당_식품_02.csv,CJ제일제당,식품,02,07년09월(3Q),230000,7085,3024,437,282,1964,52419,NA,4.39,2352,205.33,NA,NA,14.44,NA,NA,37.41
DB손해보험_손보_02.csv,DB손해보험,손보,02,19년09월(3Q),51600,66075,36096,1809,1303,13948,90872,9.24,0.57,1801,735.97,6.61,-9.61,3.72,8.25,-8.58,62.54
DB손해보험_손보_02.csv,DB손해보험,손보,02,19년06월(2Q),59300,61583,36024,1669,1198,3750,84600,10.3,0.7,1638,773.73,4.57,-40.4,3.54,8.15,-42.59,62.36
DB손해보험_손보_02.csv,DB손해보험,손보,02,19년03월(1Q),68700,56085,34623,935,760,2235,76915,9.86,0.89,1088,828.08,2.63,-42.05,2.07,5.86,-33.67,65.84
DB손해보험_손보_02.csv,DB손해보험,손보,02,18년12월(4Q),70400,52928,34903,792,737,2733,72422,9.36,0.97,1059,862.24,2.59,-42.78,1.8,6.12,-28.28,67.39
DB손해보험_손보_02.csv,DB손해보험,손보,02,18년09월(3Q),72800,49043,33859,2001,1396,1166,66972,9.17,1.09,1970,919.3,0.59,-14.14,4.85,12.19,-19.68,70.18
DB손해보험_손보_02.csv,DB손해보험,손보,02,18년06월(2Q),59000,46383,34450,2800,2049,-2410,63217,7.01,0.93,2853,965.67,0.52,4.9,6.07,18.38,-5.13,62.8
DB손해보험_손보_02.csv,DB손해보험,손보,02,18년03월(1Q),65000,45369,33737,1614,1196,975,61759,7.58,1.05,1640,965.83,-0.07,-29.65,3.74,10.35,-31.72,67.19
