year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
15,DB손해보험,손보,15년09월(3Q),61300,39998,31464,1218,905,2138,54607,1.12,870.82,6.44,2.86,9.58,54.52
15,DB손해보험,손보,15년06월(2Q),56500,38178,31386,2113,1882,7429,52087,1.08,873.92,6.19,5.35,19.94,60.48
15,DB손해보험,손보,15년03월(1Q),49450,37734,30755,1794,1224,3390,51672,0.96,858.1,7.2,4.66,13.25,59.08
14,DB손해보험,손보,14년12월(4Q),55000,35912,30565,358,505,8025,49200,1.12,872.72,5.16,0.92,6.57,55.15
14,DB손해보험,손보,14년09월(3Q),59500,35325,29560,1285,994,4613,47887,1.24,853.47,21.87,3.74,11.51,62.46
14,DB손해보험,손보,14년06월(2Q),52000,32993,29556,2126,1651,9804,44726,1.16,883.22,4.5,5.78,21.68,59.04
14,DB손해보험,손보,14년03월(1Q),55200,29872,28690,1519,1143,4964,40477,1.36,946.43,2,4.39,15.97,60.71
13,DB손해보험,손보,13년12월(4Q),56200,28578,29065,891,297,-671,38752,1.45,960.74,19.8,2.66,5.44,63.35
13,DB손해보험,손보,13년09월(2Q),46200,28552,28282,1823,1445,-1241,38200,1.21,934.45,18.78,5.12,21.84,56.26
13,DB손해보험,손보,13년06월(1Q),48300,27304,28128,1003,890,12059,36500,1.32,962.3,17.48,2.89,13.44,56.92
13,DB손해보험,손보,13년03월(4Q),45600,30666,24263,1114,1292,2813,40540,1.12,821.22,-3.99,4.05,18.85,69.5
12,DB손해보험,손보,12년12월(3Q),45950,26440,24256,1397,1137,163,37763,1.22,709.09,1.64,4.7,17.14,59.06
12,DB손해보험,손보,12년09월(2Q),48400,26628,23810,1865,1487,-4826,38029,1.27,662.97,12.31,6.52,23.92,58.45
12,DB손해보험,손보,12년06월(1Q),41950,23098,23944,1314,1026,2124,33043,1.27,719.69,23.02,4.68,17.96,56.78
12,DB손해보험,손보,12년03월(4Q),48950,22608,25271,883,718,738,32351,1.51,681.34,37.06,3.16,13.06,55.81
19,GS,정유,19년09월(3Q),50300,110997,45234,5511,2436,2891,94712,0.53,120.22,-4.16,12.18,9.36,23.03
19,GS,정유,19년06월(2Q),51200,108044,45081,4878,2013,4046,91978,0.56,127.3,0.88,10.82,7.44,21.67
19,GS,정유,19년03월(1Q),52800,105585,44187,5127,2058,6767,89928,0.59,129.46,4.61,11.6,7.38,22.24
18,GS,정유,18년12월(4Q),51600,105250,43319,4138,1863,1155,89662,0.58,115.02,21.1,9.55,8.69,21.08
18,GS,정유,18년09월(3Q),55100,103460,47198,6894,3512,2784,87792,0.63,120.92,11.6,14.61,15.17,24.58
18,GS,정유,18년06월(2Q),54400,99926,44687,5508,2206,3373,84698,0.64,122.24,15.9,12.33,9.52,22.78
18,GS,정유,18년03월(1Q),62100,97105,42240,5559,2723,5380,81994,0.76,127.75,7.81,13.16,11.52,23.73
17,GS,정유,17년12월(4Q),62200,96626,35772,5067,2337,3688,81634,0.76,127.72,-4.21,14.16,11.31,24.13
17,GS,정유,17년09월(3Q),65600,95186,42292,4967,2588,1402,80296,0.82,128.33,26.78,11.74,12.52,22.51
17,GS,정유,17년06월(2Q),68200,92368,38556,3919,1645,2912,77626,0.88,127.4,15.95,10.16,7.44,20.98
17,GS,정유,17년03월(1Q),59100,90416,39181,6456,4349,5062,74738,0.79,131.13,27.74,16.48,22.85,26.3
